sample interval	   MLII	     V1
(0.0027777 sec)	   (mV)	   (mV)
              0	 -0.095	  0.010
              1	 -0.095	  0.010
              2	 -0.095	  0.010
              3	 -0.095	  0.010
              4	 -0.095	  0.010
              5	 -0.095	  0.010
              6	 -0.095	  0.010
              7	 -0.095	  0.010
              8	 -0.095	  0.010
              9	 -0.090	  0.020
             10	 -0.085	  0.040
             11	 -0.070	  0.030
             12	 -0.060	  0.035
             13	 -0.040	  0.020
             14	 -0.030	  0.015
             15	 -0.015	  0.000
             16	  0.010	  0.000
             17	  0.055	  0.005
             18	  0.095	  0.005
             19	  0.150	  0.000
             20	  0.215	  0.010
             21	  0.290	  0.010
             22	  0.365	  0.005
             23	  0.445	 -0.010
             24	  0.545	 -0.005
             25	  0.640	 -0.025
             26	  0.755	 -0.035
             27	  0.850	 -0.055
             28	  0.895	 -0.100
             29	  0.875	 -0.150
             30	  0.745	 -0.205
             31	  0.490	 -0.280
             32	  0.130	 -0.340
             33	 -0.325	 -0.390
             34	 -0.765	 -0.400
             35	 -1.150	 -0.410
             36	 -1.450	 -0.400
             37	 -1.670	 -0.400
             38	 -1.825	 -0.435
             39	 -1.955	 -0.455
             40	 -2.065	 -0.470
             41	 -2.150	 -0.460
             42	 -2.230	 -0.415
             43	 -2.265	 -0.320
             44	 -2.290	 -0.210
             45	 -2.255	 -0.045
             46	 -2.215	  0.120
             47	 -2.140	  0.300
             48	 -2.050	  0.455
             49	 -1.930	  0.595
             50	 -1.820	  0.715
             51	 -1.715	  0.805
             52	 -1.590	  0.870
             53	 -1.505	  0.915
             54	 -1.430	  0.955
             55	 -1.360	  0.995
             56	 -1.290	  1.025
             57	 -1.210	  1.035
             58	 -1.110	  1.005
             59	 -0.995	  0.955
             60	 -0.880	  0.850
             61	 -0.780	  0.680
             62	 -0.700	  0.460
             63	 -0.630	  0.225
             64	 -0.575	 -0.010
             65	 -0.530	 -0.205
             66	 -0.490	 -0.350
             67	 -0.445	 -0.425
             68	 -0.345	 -0.440
             69	 -0.230	 -0.420
             70	 -0.090	 -0.360
             71	  0.035	 -0.310
             72	  0.185	 -0.260
             73	  0.270	 -0.205
             74	  0.330	 -0.170
             75	  0.350	 -0.130
             76	  0.350	 -0.115
             77	  0.325	 -0.110
             78	  0.300	 -0.110
             79	  0.310	 -0.130
