sample interval	   MLII	     V1
(0.0027777 sec)	   (mV)	   (mV)
              0	 -0.020	  0.160
              1	 -0.020	  0.160
              2	 -0.020	  0.160
              3	 -0.020	  0.160
              4	 -0.020	  0.160
              5	 -0.020	  0.160
              6	 -0.020	  0.160
              7	 -0.020	  0.160
              8	 -0.020	  0.160
              9	  0.005	  0.140
             10	  0.020	  0.140
             11	  0.025	  0.155
             12	  0.040	  0.145
             13	  0.040	  0.160
             14	  0.045	  0.175
             15	  0.075	  0.155
             16	  0.090	  0.135
             17	  0.090	  0.130
             18	  0.095	  0.130
             19	  0.090	  0.155
             20	  0.110	  0.175
             21	  0.130	  0.170
             22	  0.130	  0.160
             23	  0.140	  0.145
             24	  0.130	  0.120
             25	  0.120	  0.130
             26	  0.125	  0.135
             27	  0.130	  0.165
             28	  0.150	  0.175
             29	  0.140	  0.195
             30	  0.120	  0.200
             31	  0.135	  0.170
             32	  0.135	  0.170
             33	  0.155	  0.165
             34	  0.165	  0.155
             35	  0.165	  0.130
             36	  0.135	  0.115
             37	  0.125	  0.135
             38	  0.130	  0.145
             39	  0.125	  0.160
             40	  0.110	  0.180
             41	  0.100	  0.185
             42	  0.080	  0.175
             43	  0.060	  0.155
             44	  0.075	  0.160
             45	  0.085	  0.155
             46	  0.090	  0.130
             47	  0.070	  0.105
             48	  0.045	  0.100
             49	  0.020	  0.100
             50	  0.010	  0.125
             51	  0.005	  0.140
             52	 -0.010	  0.140
             53	 -0.045	  0.110
             54	 -0.065	  0.095
             55	 -0.070	  0.100
             56	 -0.080	  0.110
             57	 -0.070	  0.130
             58	 -0.055	  0.125
             59	 -0.080	  0.145
             60	 -0.115	  0.140
             61	 -0.130	  0.155
             62	 -0.105	  0.140
             63	 -0.080	  0.130
             64	 -0.070	  0.120
             65	 -0.085	  0.105
             66	 -0.110	  0.105
             67	 -0.120	  0.115
             68	 -0.120	  0.140
             69	 -0.105	  0.125
             70	 -0.090	  0.115
             71	 -0.100	  0.095
             72	 -0.110	  0.090
             73	 -0.125	  0.105
             74	 -0.125	  0.110
             75	 -0.105	  0.125
             76	 -0.120	  0.110
             77	 -0.085	  0.090
             78	 -0.100	  0.050
             79	 -0.100	  0.045
             80	 -0.105	  0.055
             81	 -0.105	  0.085
             82	 -0.115	  0.110
             83	 -0.115	  0.100
             84	 -0.110	  0.110
             85	 -0.135	  0.095
             86	 -0.135	  0.090
             87	 -0.120	  0.100
             88	 -0.120	  0.115
             89	 -0.120	  0.105
             90	 -0.115	  0.105
             91	 -0.125	  0.105
             92	 -0.125	  0.120
             93	 -0.120	  0.140
             94	 -0.100	  0.120
             95	 -0.100	  0.110
             96	 -0.110	  0.095
             97	 -0.120	  0.090
             98	 -0.115	  0.090
             99	 -0.115	  0.085
            100	 -0.105	  0.075
            101	 -0.095	  0.075
            102	 -0.125	  0.065
            103	 -0.140	  0.070
            104	 -0.125	  0.090
            105	 -0.110	  0.105
            106	 -0.090	  0.120
            107	 -0.100	  0.105
            108	 -0.120	  0.105
            109	 -0.130	  0.145
            110	 -0.140	  0.175
            111	 -0.140	  0.190
            112	 -0.115	  0.175
            113	 -0.100	  0.140
            114	 -0.110	  0.100
            115	 -0.110	  0.090
            116	 -0.085	  0.105
            117	 -0.065	  0.120
            118	 -0.040	  0.110
            119	 -0.035	  0.095
            120	 -0.055	  0.065
            121	 -0.075	  0.075
            122	 -0.055	  0.105
            123	 -0.030	  0.140
            124	  0.000	  0.135
            125	 -0.020	  0.125
            126	 -0.045	  0.110
            127	 -0.060	  0.110
            128	 -0.045	  0.115
            129	 -0.030	  0.105
            130	 -0.025	  0.075
            131	 -0.020	  0.050
            132	 -0.025	  0.020
            133	 -0.060	  0.040
            134	 -0.070	  0.060
            135	 -0.050	  0.090
            136	 -0.045	  0.090
            137	 -0.055	  0.065
            138	 -0.090	  0.060
            139	 -0.105	  0.055
            140	 -0.110	  0.050
            141	 -0.110	  0.055
            142	 -0.090	  0.050
            143	 -0.095	  0.045
            144	 -0.090	  0.060
            145	 -0.090	  0.080
            146	 -0.070	  0.095
            147	 -0.060	  0.090
            148	 -0.065	  0.075
            149	 -0.080	  0.060
            150	 -0.100	  0.035
            151	 -0.115	  0.050
            152	 -0.125	  0.055
            153	 -0.130	  0.055
            154	 -0.140	  0.055
            155	 -0.160	  0.050
            156	 -0.160	  0.055
            157	 -0.165	  0.060
            158	 -0.185	  0.075
            159	 -0.175	  0.120
            160	 -0.185	  0.130
            161	 -0.185	  0.140
            162	 -0.195	  0.170
            163	 -0.200	  0.175
            164	 -0.190	  0.180
            165	 -0.190	  0.150
            166	 -0.185	  0.125
            167	 -0.180	  0.095
            168	 -0.185	  0.080
            169	 -0.190	  0.050
            170	 -0.190	  0.045
            171	 -0.185	  0.050
            172	 -0.175	  0.065
            173	 -0.190	  0.075
            174	 -0.190	  0.090
            175	 -0.200	  0.090
            176	 -0.195	  0.090
            177	 -0.200	  0.120
            178	 -0.210	  0.135
            179	 -0.240	  0.165
            180	 -0.260	  0.170
            181	 -0.250	  0.180
            182	 -0.215	  0.205
            183	 -0.115	  0.210
            184	  0.010	  0.215
            185	  0.170	  0.210
            186	  0.375	  0.215
            187	  0.600	  0.235
            188	  0.850	  0.235
            189	  1.080	  0.205
            190	  1.195	  0.120
            191	  1.150	 -0.005
            192	  0.900	 -0.120
            193	  0.550	 -0.155
            194	  0.115	 -0.120
            195	 -0.340	 -0.095
            196	 -0.710	 -0.080
            197	 -0.850	 -0.085
            198	 -0.800	 -0.085
            199	 -0.680	 -0.070
            200	 -0.555	 -0.055
            201	 -0.445	 -0.035
            202	 -0.375	 -0.020
            203	 -0.320	 -0.010
            204	 -0.285	 -0.010
            205	 -0.255	  0.005
            206	 -0.235	  0.010
            207	 -0.215	  0.050
            208	 -0.220	  0.080
            209	 -0.220	  0.070
            210	 -0.235	  0.050
            211	 -0.210	  0.050
            212	 -0.200	  0.070
            213	 -0.205	  0.090
            214	 -0.200	  0.105
            215	 -0.205	  0.090
            216	 -0.210	  0.095
            217	 -0.225	  0.100
            218	 -0.210	  0.120
            219	 -0.190	  0.125
            220	 -0.180	  0.115
            221	 -0.195	  0.100
            222	 -0.205	  0.095
            223	 -0.210	  0.110
            224	 -0.210	  0.105
            225	 -0.200	  0.125
            226	 -0.195	  0.115
            227	 -0.205	  0.115
            228	 -0.215	  0.110
            229	 -0.205	  0.105
            230	 -0.205	  0.125
            231	 -0.175	  0.155
            232	 -0.175	  0.145
            233	 -0.160	  0.115
            234	 -0.160	  0.075
            235	 -0.140	  0.065
            236	 -0.150	  0.080
            237	 -0.125	  0.115
            238	 -0.120	  0.135
            239	 -0.125	  0.150
            240	 -0.145	  0.185
            241	 -0.145	  0.205
            242	 -0.125	  0.205
            243	 -0.090	  0.170
            244	 -0.060	  0.100
            245	 -0.070	  0.070
            246	 -0.070	  0.075
            247	 -0.075	  0.105
            248	 -0.060	  0.120
            249	 -0.040	  0.120
            250	 -0.015	  0.095
            251	 -0.020	  0.080
            252	 -0.020	  0.090
            253	  0.005	  0.110
            254	  0.025	  0.120
            255	  0.040	  0.125
            256	  0.040	  0.130
            257	  0.050	  0.135
            258	  0.025	  0.125
            259	  0.025	  0.115
            260	  0.035	  0.130
            261	  0.060	  0.140
            262	  0.085	  0.125
            263	  0.090	  0.110
            264	  0.070	  0.130
            265	  0.065	  0.125
            266	  0.070	  0.135
            267	  0.095	  0.155
            268	  0.110	  0.150
            269	  0.105	  0.145
            270	  0.090	  0.135
            271	  0.075	  0.145
            272	  0.075	  0.160
            273	  0.080	  0.175
            274	  0.090	  0.160
            275	  0.085	  0.160
            276	  0.055	  0.150
            277	  0.035	  0.155
            278	  0.055	  0.175
            279	  0.055	  0.185
            280	  0.045	  0.220
            281	  0.025	  0.235
            282	  0.000	  0.225
            283	 -0.005	  0.200
            284	 -0.020	  0.185
            285	 -0.035	  0.175
            286	 -0.045	  0.160
            287	 -0.060	  0.145
            288	 -0.085	  0.105
            289	 -0.105	  0.095
            290	 -0.115	  0.070
            291	 -0.125	  0.075
            292	 -0.120	  0.065
            293	 -0.130	  0.060
            294	 -0.155	  0.055
            295	 -0.160	  0.080
            296	 -0.170	  0.090
            297	 -0.165	  0.105
            298	 -0.175	  0.095
            299	 -0.165	  0.080
            300	 -0.190	  0.090
            301	 -0.205	  0.080
            302	 -0.205	  0.100
            303	 -0.200	  0.115
            304	 -0.205	  0.120
            305	 -0.210	  0.125
            306	 -0.220	  0.125
            307	 -0.235	  0.140
            308	 -0.225	  0.140
            309	 -0.205	  0.160
            310	 -0.195	  0.165
            311	 -0.200	  0.155
            312	 -0.210	  0.110
            313	 -0.230	  0.105
            314	 -0.215	  0.105
            315	 -0.205	  0.105
            316	 -0.200	  0.100
            317	 -0.190	  0.080
            318	 -0.210	  0.050
            319	 -0.220	  0.070
            320	 -0.215	  0.100
            321	 -0.215	  0.135
            322	 -0.195	  0.130
            323	 -0.195	  0.115
            324	 -0.195	  0.095
            325	 -0.210	  0.075
            326	 -0.210	  0.090
            327	 -0.205	  0.100
            328	 -0.195	  0.105
            329	 -0.200	  0.095
            330	 -0.200	  0.095
            331	 -0.205	  0.110
            332	 -0.205	  0.125
            333	 -0.195	  0.145
            334	 -0.180	  0.135
            335	 -0.185	  0.115
            336	 -0.200	  0.075
            337	 -0.200	  0.055
            338	 -0.165	  0.055
            339	 -0.165	  0.080
            340	 -0.145	  0.110
            341	 -0.155	  0.125
            342	 -0.165	  0.115
            343	 -0.150	  0.105
            344	 -0.145	  0.095
            345	 -0.145	  0.105
            346	 -0.150	  0.100
            347	 -0.165	  0.095
            348	 -0.165	  0.095
            349	 -0.170	  0.120
            350	 -0.150	  0.125
            351	 -0.145	  0.135
            352	 -0.130	  0.130
            353	 -0.140	  0.120
            354	 -0.145	  0.105
            355	 -0.145	  0.125
            356	 -0.135	  0.160
            357	 -0.130	  0.170
            358	 -0.115	  0.145
            359	 -0.110	  0.115
