sample interval	   MLII	     V1
(0.0027777 sec)	   (mV)	   (mV)
              0	 -0.320	 -1.240
              1	 -0.320	 -1.240
              2	 -0.320	 -1.240
              3	 -0.320	 -1.240
              4	 -0.320	 -1.240
              5	 -0.320	 -1.240
              6	 -0.320	 -1.240
              7	 -0.320	 -1.310
              8	 -0.025	 -1.375
              9	  0.265	 -1.445
             10	  0.580	 -1.515
             11	  0.925	 -1.565
             12	  1.310	 -1.575
             13	  1.670	 -1.575
             14	  2.010	 -1.540
             15	  2.240	 -1.465
             16	  2.315	 -1.365
             17	  2.185	 -1.245
             18	  1.770	 -1.145
             19	  1.130	 -1.055
             20	  0.490	 -1.020
             21	 -0.150	 -0.975
             22	 -0.790	 -0.945
             23	 -1.430	 -0.910
             24	 -1.640	 -0.870
             25	 -1.385	 -0.850
             26	 -1.105	 -0.850
             27	 -0.920	 -0.865
             28	 -0.855	 -0.880
             29	 -0.900	 -0.885
             30	 -0.995	 -0.875
             31	 -1.090	 -0.850
             32	 -1.170	 -0.835
             33	 -1.200	 -0.820
             34	 -1.180	 -0.800
             35	 -1.185	 -0.805
             36	 -1.155	 -0.765
             37	 -1.145	 -0.765
             38	 -1.125	 -0.775
             39	 -1.135	 -0.785
             40	 -1.155	 -0.795
             41	 -1.165	 -0.790
             42	 -1.175	 -0.790
             43	 -1.185	 -0.775
             44	 -1.185	 -0.780
             45	 -1.185	 -0.755
             46	 -1.145	 -0.755
             47	 -1.135	 -0.735
             48	 -1.120	 -0.755
             49	 -1.100	 -0.760
             50	 -1.075	 -0.760
             51	 -1.090	 -0.770
             52	 -1.100	 -0.790
             53	 -1.105	 -0.795
             54	 -1.110	 -0.780
             55	 -1.110	 -0.775
             56	 -1.115	 -0.760
             57	 -1.110	 -0.740
             58	 -1.075	 -0.725
             59	 -1.080	 -0.735
             60	 -1.050	 -0.730
             61	 -1.035	 -0.730
             62	 -1.035	 -0.740
             63	 -1.025	 -0.750
             64	 -1.020	 -0.730
             65	 -1.010	 -0.760
             66	 -1.000	 -0.755
             67	 -1.000	 -0.755
             68	 -0.980	 -0.730
             69	 -0.960	 -0.720
             70	 -0.935	 -0.690
             71	 -0.920	 -0.680
             72	 -0.895	 -0.680
             73	 -0.885	 -0.690
             74	 -0.895	 -0.705
             75	 -0.865	 -0.710
             76	 -0.840	 -0.710
             77	 -0.830	 -0.700
             78	 -0.820	 -0.695
             79	 -0.810	 -0.670
             80	 -0.775	 -0.655
             81	 -0.735	 -0.640
             82	 -0.695	 -0.635
             83	 -0.655	 -0.625
             84	 -0.610	 -0.620
             85	 -0.575	 -0.625
             86	 -0.555	 -0.630
             87	 -0.515	 -0.640
             88	 -0.515	 -0.640
             89	 -0.490	 -0.650
             90	 -0.485	 -0.645
             91	 -0.470	 -0.640
             92	 -0.470	 -0.625
             93	 -0.445	 -0.615
             94	 -0.425	 -0.600
             95	 -0.395	 -0.575
             96	 -0.355	 -0.575
             97	 -0.340	 -0.590
             98	 -0.335	 -0.595
             99	 -0.340	 -0.625
            100	 -0.350	 -0.640
            101	 -0.375	 -0.650
            102	 -0.390	 -0.640
            103	 -0.415	 -0.625
            104	 -0.440	 -0.625
            105	 -0.480	 -0.625
            106	 -0.495	 -0.630
            107	 -0.530	 -0.645
            108	 -0.565	 -0.645
            109	 -0.605	 -0.660
            110	 -0.660	 -0.680
            111	 -0.700	 -0.700
            112	 -0.740	 -0.710
            113	 -0.800	 -0.740
            114	 -0.835	 -0.735
            115	 -0.895	 -0.710
            116	 -0.945	 -0.725
            117	 -0.990	 -0.725
            118	 -1.020	 -0.725
            119	 -1.050	 -0.730
            120	 -1.060	 -0.700
            121	 -1.090	 -0.695
            122	 -1.120	 -0.680
            123	 -1.120	 -0.710
            124	 -1.145	 -0.740
            125	 -1.170	 -0.790
            126	 -1.205	 -0.810
            127	 -1.255	 -0.820
            128	 -1.260	 -0.790
            129	 -1.260	 -0.775
            130	 -1.245	 -0.725
            131	 -1.225	 -0.720
            132	 -1.215	 -0.735
            133	 -1.215	 -0.750
            134	 -1.230	 -0.760
            135	 -1.240	 -0.765
            136	 -1.245	 -0.780
            137	 -1.260	 -0.775
            138	 -1.265	 -0.775
            139	 -1.275	 -0.735
            140	 -1.270	 -0.745
            141	 -1.280	 -0.745
            142	 -1.260	 -0.745
            143	 -1.260	 -0.740
            144	 -1.235	 -0.750
            145	 -1.240	 -0.735
            146	 -1.240	 -0.730
            147	 -1.235	 -0.735
            148	 -1.245	 -0.750
            149	 -1.245	 -0.745
            150	 -1.250	 -0.750
            151	 -1.270	 -0.755
            152	 -1.265	 -0.740
            153	 -1.245	 -0.730
            154	 -1.230	 -0.720
            155	 -1.210	 -0.715
            156	 -1.205	 -0.710
            157	 -1.215	 -0.700
            158	 -1.230	 -0.720
            159	 -1.235	 -0.730
            160	 -1.250	 -0.725
            161	 -1.265	 -0.740
            162	 -1.265	 -0.720
            163	 -1.270	 -0.705
            164	 -1.270	 -0.720
            165	 -1.265	 -0.705
            166	 -1.250	 -0.710
            167	 -1.240	 -0.725
            168	 -1.225	 -0.735
            169	 -1.235	 -0.760
            170	 -1.245	 -0.760
            171	 -1.260	 -0.740
            172	 -1.280	 -0.760
            173	 -1.300	 -0.750
            174	 -1.300	 -0.755
            175	 -1.305	 -0.775
            176	 -1.305	 -0.785
            177	 -1.285	 -0.775
            178	 -1.290	 -0.755
            179	 -1.295	 -0.745
            180	 -1.295	 -0.725
            181	 -1.300	 -0.715
            182	 -1.305	 -0.715
            183	 -1.310	 -0.760
            184	 -1.325	 -0.770
            185	 -1.315	 -0.790
            186	 -1.340	 -0.790
            187	 -1.340	 -0.775
            188	 -1.345	 -0.780
            189	 -1.325	 -0.750
            190	 -1.330	 -0.735
            191	 -1.315	 -0.720
            192	 -1.305	 -0.700
            193	 -1.295	 -0.710
            194	 -1.305	 -0.725
            195	 -1.300	 -0.740
            196	 -1.305	 -0.760
            197	 -1.320	 -0.765
            198	 -1.335	 -0.765
            199	 -1.335	 -0.755
            200	 -1.360	 -0.775
            201	 -1.355	 -0.760
            202	 -1.350	 -0.730
            203	 -1.355	 -0.730
            204	 -1.340	 -0.715
            205	 -1.345	 -0.705
            206	 -1.350	 -0.705
            207	 -1.375	 -0.725
            208	 -1.385	 -0.735
            209	 -1.385	 -0.780
            210	 -1.365	 -0.755
            211	 -1.365	 -0.760
            212	 -1.370	 -0.750
            213	 -1.360	 -0.725
            214	 -1.345	 -0.700
            215	 -1.325	 -0.670
            216	 -1.305	 -0.665
            217	 -1.270	 -0.650
            218	 -1.270	 -0.665
            219	 -1.265	 -0.650
            220	 -1.275	 -0.670
            221	 -1.305	 -0.690
            222	 -1.325	 -0.695
            223	 -1.330	 -0.700
            224	 -1.325	 -0.720
            225	 -1.300	 -0.715
            226	 -1.270	 -0.705
            227	 -1.255	 -0.705
            228	 -1.240	 -0.695
            229	 -1.235	 -0.685
            230	 -1.210	 -0.700
            231	 -1.195	 -0.680
            232	 -1.195	 -0.690
