sample interval	   MLII	     V1
(0.0027777 sec)	   (mV)	   (mV)
              0	  0.350	  0.105
              1	  0.350	  0.105
              2	  0.350	  0.105
              3	  0.350	  0.105
              4	  0.350	  0.105
              5	  0.350	  0.105
              6	  0.350	  0.105
              7	  0.350	  0.105
              8	  0.350	  0.105
              9	  0.020	  0.115
             10	 -0.210	  0.090
             11	 -0.330	  0.075
             12	 -0.370	  0.095
             13	 -0.335	  0.115
             14	 -0.285	  0.090
             15	 -0.230	  0.085
             16	 -0.215	  0.090
             17	 -0.200	  0.085
             18	 -0.190	  0.070
             19	 -0.200	  0.075
             20	 -0.200	  0.090
             21	 -0.210	  0.095
             22	 -0.230	  0.070
             23	 -0.250	  0.030
             24	 -0.255	  0.040
             25	 -0.245	  0.070
             26	 -0.240	  0.065
             27	 -0.215	  0.040
             28	 -0.235	  0.040
             29	 -0.230	  0.045
             30	 -0.230	  0.040
             31	 -0.205	  0.015
             32	 -0.180	  0.040
             33	 -0.165	  0.050
             34	 -0.195	  0.060
             35	 -0.210	  0.040
             36	 -0.215	  0.030
             37	 -0.195	  0.060
             38	 -0.170	  0.085
             39	 -0.155	  0.070
             40	 -0.175	  0.045
             41	 -0.195	  0.050
             42	 -0.210	  0.065
             43	 -0.200	  0.090
             44	 -0.200	  0.080
             45	 -0.195	  0.075
             46	 -0.185	  0.075
             47	 -0.185	  0.050
             48	 -0.180	  0.045
             49	 -0.175	  0.065
             50	 -0.175	  0.070
             51	 -0.165	  0.085
             52	 -0.140	  0.075
             53	 -0.120	  0.045
             54	 -0.115	  0.060
             55	 -0.130	  0.075
             56	 -0.155	  0.060
             57	 -0.190	  0.035
             58	 -0.190	  0.040
             59	 -0.185	  0.055
             60	 -0.180	  0.070
             61	 -0.160	  0.060
             62	 -0.140	  0.070
             63	 -0.130	  0.070
             64	 -0.110	  0.070
             65	 -0.120	  0.055
             66	 -0.130	  0.040
             67	 -0.130	  0.050
             68	 -0.125	  0.080
             69	 -0.095	  0.085
             70	 -0.095	  0.060
             71	 -0.090	  0.050
             72	 -0.080	  0.065
             73	 -0.075	  0.080
             74	 -0.070	  0.070
             75	 -0.075	  0.050
             76	 -0.065	  0.065
             77	 -0.055	  0.060
             78	 -0.060	  0.075
             79	 -0.055	  0.055
             80	 -0.040	  0.060
             81	 -0.030	  0.080
             82	 -0.020	  0.065
             83	 -0.015	  0.050
             84	 -0.015	  0.040
             85	 -0.010	  0.065
             86	  0.015	  0.095
             87	  0.035	  0.075
             88	  0.025	  0.050
             89	  0.015	  0.065
             90	  0.015	  0.070
             91	  0.025	  0.060
             92	  0.025	  0.055
             93	  0.040	  0.050
             94	  0.040	  0.070
             95	  0.030	  0.065
             96	  0.015	  0.065
             97	  0.020	  0.070
             98	  0.035	  0.085
             99	  0.045	  0.090
            100	  0.050	  0.060
            101	  0.025	  0.035
            102	  0.020	  0.055
            103	  0.020	  0.085
            104	  0.010	  0.095
            105	  0.010	  0.080
            106	  0.000	  0.080
            107	 -0.005	  0.075
            108	 -0.025	  0.075
            109	 -0.020	  0.070
            110	 -0.030	  0.070
            111	 -0.030	  0.085
            112	 -0.035	  0.075
            113	 -0.045	  0.060
            114	 -0.055	  0.055
            115	 -0.060	  0.085
            116	 -0.065	  0.105
            117	 -0.075	  0.085
            118	 -0.080	  0.060
            119	 -0.075	  0.045
            120	 -0.075	  0.060
            121	 -0.075	  0.085
            122	 -0.070	  0.090
            123	 -0.075	  0.075
            124	 -0.080	  0.085
            125	 -0.090	  0.090
            126	 -0.100	  0.095
            127	 -0.095	  0.080
            128	 -0.095	  0.075
            129	 -0.085	  0.080
            130	 -0.095	  0.095
            131	 -0.100	  0.080
            132	 -0.100	  0.085
            133	 -0.115	  0.085
            134	 -0.115	  0.095
