sample interval	   MLII	     V1
(0.0027777 sec)	   (mV)	   (mV)
              0	 -0.690	 -0.380
              1	 -0.690	 -0.380
              2	 -0.690	 -0.380
              3	 -0.690	 -0.380
              4	 -0.690	 -0.380
              5	 -0.690	 -0.380
              6	 -0.690	 -0.380
              7	 -0.670	 -0.380
              8	 -0.635	 -0.380
              9	 -0.600	 -0.385
             10	 -0.535	 -0.385
             11	 -0.420	 -0.350
             12	 -0.240	 -0.320
             13	  0.020	 -0.280
             14	  0.375	 -0.230
             15	  0.770	 -0.220
             16	  1.130	 -0.240
             17	  1.375	 -0.330
             18	  1.435	 -0.475
             19	  1.225	 -0.645
             20	  0.720	 -0.865
             21	  0.080	 -1.040
             22	 -0.560	 -1.160
             23	 -1.200	 -1.155
             24	 -1.685	 -1.070
             25	 -1.610	 -0.940
             26	 -1.355	 -0.800
             27	 -1.100	 -0.675
             28	 -0.910	 -0.580
             29	 -0.815	 -0.515
             30	 -0.790	 -0.490
             31	 -0.820	 -0.465
             32	 -0.845	 -0.450
             33	 -0.865	 -0.440
             34	 -0.865	 -0.430
             35	 -0.870	 -0.420
             36	 -0.870	 -0.415
             37	 -0.870	 -0.400
             38	 -0.865	 -0.385
             39	 -0.865	 -0.370
             40	 -0.870	 -0.360
             41	 -0.855	 -0.345
             42	 -0.860	 -0.350
             43	 -0.860	 -0.355
             44	 -0.860	 -0.355
             45	 -0.865	 -0.365
             46	 -0.865	 -0.360
             47	 -0.870	 -0.355
             48	 -0.860	 -0.345
             49	 -0.850	 -0.360
             50	 -0.855	 -0.345
             51	 -0.820	 -0.340
             52	 -0.815	 -0.345
             53	 -0.815	 -0.320
             54	 -0.815	 -0.330
             55	 -0.815	 -0.325
             56	 -0.805	 -0.335
             57	 -0.795	 -0.325
             58	 -0.790	 -0.340
             59	 -0.800	 -0.350
             60	 -0.800	 -0.345
             61	 -0.790	 -0.345
             62	 -0.775	 -0.335
             63	 -0.775	 -0.325
             64	 -0.765	 -0.315
             65	 -0.755	 -0.310
             66	 -0.750	 -0.305
             67	 -0.745	 -0.315
             68	 -0.740	 -0.335
             69	 -0.735	 -0.340
             70	 -0.735	 -0.335
             71	 -0.740	 -0.335
             72	 -0.755	 -0.320
             73	 -0.740	 -0.325
             74	 -0.730	 -0.310
             75	 -0.720	 -0.305
             76	 -0.710	 -0.320
             77	 -0.695	 -0.315
             78	 -0.690	 -0.320
             79	 -0.675	 -0.315
             80	 -0.675	 -0.330
             81	 -0.680	 -0.320
             82	 -0.675	 -0.320
             83	 -0.670	 -0.320
             84	 -0.670	 -0.325
             85	 -0.670	 -0.325
             86	 -0.655	 -0.315
             87	 -0.650	 -0.315
             88	 -0.635	 -0.305
             89	 -0.630	 -0.300
             90	 -0.620	 -0.300
             91	 -0.615	 -0.305
             92	 -0.605	 -0.305
             93	 -0.595	 -0.320
             94	 -0.600	 -0.315
             95	 -0.595	 -0.320
             96	 -0.595	 -0.320
             97	 -0.590	 -0.300
             98	 -0.580	 -0.290
             99	 -0.575	 -0.285
            100	 -0.565	 -0.275
            101	 -0.550	 -0.280
            102	 -0.550	 -0.295
            103	 -0.550	 -0.305
            104	 -0.550	 -0.310
            105	 -0.560	 -0.310
            106	 -0.550	 -0.320
            107	 -0.555	 -0.315
            108	 -0.555	 -0.315
            109	 -0.545	 -0.310
            110	 -0.520	 -0.315
            111	 -0.490	 -0.310
            112	 -0.465	 -0.300
            113	 -0.470	 -0.305
            114	 -0.460	 -0.315
            115	 -0.460	 -0.320
            116	 -0.445	 -0.325
            117	 -0.440	 -0.330
            118	 -0.440	 -0.355
            119	 -0.420	 -0.350
            120	 -0.410	 -0.360
            121	 -0.420	 -0.370
            122	 -0.415	 -0.360
            123	 -0.420	 -0.350
            124	 -0.425	 -0.360
            125	 -0.430	 -0.355
            126	 -0.445	 -0.375
            127	 -0.460	 -0.365
            128	 -0.480	 -0.385
            129	 -0.495	 -0.405
            130	 -0.515	 -0.405
            131	 -0.545	 -0.410
            132	 -0.550	 -0.395
            133	 -0.580	 -0.400
            134	 -0.590	 -0.380
            135	 -0.595	 -0.385
            136	 -0.600	 -0.380
            137	 -0.610	 -0.380
            138	 -0.625	 -0.390
            139	 -0.645	 -0.395
            140	 -0.660	 -0.405
            141	 -0.670	 -0.395
            142	 -0.685	 -0.395
            143	 -0.685	 -0.400
            144	 -0.695	 -0.400
            145	 -0.695	 -0.395
            146	 -0.695	 -0.390
            147	 -0.690	 -0.385
            148	 -0.695	 -0.375
            149	 -0.685	 -0.370
            150	 -0.700	 -0.375
            151	 -0.700	 -0.385
            152	 -0.700	 -0.390
            153	 -0.705	 -0.400
            154	 -0.705	 -0.405
            155	 -0.715	 -0.420
            156	 -0.715	 -0.415
            157	 -0.715	 -0.405
            158	 -0.715	 -0.380
            159	 -0.710	 -0.365
            160	 -0.700	 -0.360
            161	 -0.685	 -0.365
            162	 -0.680	 -0.370
            163	 -0.685	 -0.375
            164	 -0.685	 -0.405
            165	 -0.685	 -0.400
            166	 -0.690	 -0.400
            167	 -0.695	 -0.410
            168	 -0.680	 -0.390
            169	 -0.670	 -0.385
            170	 -0.650	 -0.385
            171	 -0.650	 -0.380
            172	 -0.645	 -0.365
