sample interval	   MLII	     V1
(0.0027777 sec)	   (mV)	   (mV)
              0	  0.045	 -0.760
              1	  0.045	 -0.760
              2	  0.045	 -0.760
              3	  0.045	 -0.760
              4	  0.045	 -0.760
              5	  0.045	 -0.760
              6	  0.045	 -0.760
              7	  0.045	 -0.770
              8	  0.045	 -0.760
              9	  0.035	 -0.740
             10	  0.030	 -0.720
             11	  0.045	 -0.685
             12	  0.050	 -0.655
             13	  0.065	 -0.640
             14	  0.035	 -0.645
             15	  0.030	 -0.610
             16	  0.015	 -0.570
             17	  0.040	 -0.530
             18	  0.045	 -0.485
             19	  0.020	 -0.470
             20	  0.010	 -0.450
             21	 -0.020	 -0.420
             22	 -0.010	 -0.395
             23	 -0.010	 -0.350
             24	 -0.015	 -0.320
             25	 -0.035	 -0.295
             26	 -0.055	 -0.290
             27	 -0.070	 -0.250
             28	 -0.085	 -0.225
             29	 -0.075	 -0.175
             30	 -0.075	 -0.160
             31	 -0.100	 -0.145
             32	 -0.120	 -0.125
             33	 -0.135	 -0.105
             34	 -0.150	 -0.080
             35	 -0.130	 -0.045
             36	 -0.130	 -0.020
             37	 -0.135	 -0.010
             38	 -0.155	 -0.005
             39	 -0.170	  0.000
             40	 -0.175	  0.040
             41	 -0.165	  0.050
             42	 -0.160	  0.080
             43	 -0.175	  0.075
             44	 -0.205	  0.065
             45	 -0.200	  0.075
             46	 -0.195	  0.085
             47	 -0.205	  0.100
             48	 -0.190	  0.120
             49	 -0.195	  0.110
             50	 -0.210	  0.105
             51	 -0.210	  0.105
             52	 -0.205	  0.100
             53	 -0.190	  0.115
             54	 -0.175	  0.115
             55	 -0.190	  0.100
             56	 -0.195	  0.080
             57	 -0.205	  0.070
             58	 -0.200	  0.080
             59	 -0.185	  0.110
             60	 -0.170	  0.115
             61	 -0.155	  0.125
             62	 -0.185	  0.110
             63	 -0.195	  0.120
             64	 -0.205	  0.125
             65	 -0.185	  0.145
             66	 -0.175	  0.150
             67	 -0.180	  0.140
             68	 -0.190	  0.135
             69	 -0.220	  0.135
             70	 -0.200	  0.140
             71	 -0.180	  0.155
             72	 -0.185	  0.170
             73	 -0.180	  0.150
             74	 -0.195	  0.150
             75	 -0.220	  0.155
             76	 -0.200	  0.160
             77	 -0.175	  0.175
             78	 -0.175	  0.175
             79	 -0.185	  0.170
             80	 -0.200	  0.150
             81	 -0.215	  0.150
             82	 -0.225	  0.170
             83	 -0.210	  0.185
             84	 -0.195	  0.190
             85	 -0.200	  0.170
             86	 -0.215	  0.160
             87	 -0.235	  0.160
             88	 -0.235	  0.170
             89	 -0.220	  0.175
