sample interval	   MLII	     V2
(0.0027777 sec)	   (mV)	   (mV)
              0	 -0.375	  0.050
              1	 -0.375	  0.050
              2	 -0.375	  0.050
              3	 -0.375	  0.050
              4	 -0.375	  0.050
              5	 -0.375	  0.050
              6	 -0.375	  0.050
              7	 -0.375	  0.050
              8	 -0.385	  0.050
              9	 -0.385	  0.035
             10	 -0.385	  0.035
             11	 -0.380	  0.050
             12	 -0.360	  0.065
             13	 -0.360	  0.065
             14	 -0.370	  0.040
             15	 -0.365	  0.045
             16	 -0.370	  0.035
             17	 -0.360	  0.055
             18	 -0.355	  0.070
             19	 -0.345	  0.075
             20	 -0.340	  0.065
             21	 -0.345	  0.055
             22	 -0.345	  0.070
             23	 -0.330	  0.080
             24	 -0.325	  0.090
             25	 -0.310	  0.085
             26	 -0.305	  0.090
             27	 -0.310	  0.085
             28	 -0.310	  0.085
             29	 -0.300	  0.105
             30	 -0.280	  0.120
             31	 -0.250	  0.125
             32	 -0.250	  0.120
             33	 -0.245	  0.125
             34	 -0.235	  0.135
             35	 -0.220	  0.145
             36	 -0.195	  0.160
             37	 -0.165	  0.165
             38	 -0.160	  0.175
             39	 -0.160	  0.170
             40	 -0.135	  0.180
             41	 -0.120	  0.210
             42	 -0.090	  0.230
             43	 -0.060	  0.235
             44	 -0.045	  0.240
             45	 -0.035	  0.255
             46	 -0.015	  0.255
             47	  0.000	  0.275
             48	  0.030	  0.300
             49	  0.060	  0.295
             50	  0.070	  0.315
             51	  0.075	  0.315
             52	  0.075	  0.335
             53	  0.100	  0.350
             54	  0.110	  0.350
             55	  0.135	  0.355
             56	  0.130	  0.355
             57	  0.145	  0.350
             58	  0.135	  0.355
             59	  0.160	  0.370
             60	  0.165	  0.390
             61	  0.175	  0.395
             62	  0.185	  0.385
             63	  0.175	  0.370
             64	  0.165	  0.365
             65	  0.170	  0.380
             66	  0.160	  0.385
             67	  0.150	  0.375
             68	  0.140	  0.370
             69	  0.120	  0.345
             70	  0.085	  0.345
             71	  0.080	  0.335
             72	  0.070	  0.330
             73	  0.055	  0.310
             74	  0.020	  0.280
             75	 -0.005	  0.265
             76	 -0.050	  0.250
             77	 -0.065	  0.240
             78	 -0.085	  0.225
             79	 -0.095	  0.205
             80	 -0.125	  0.180
             81	 -0.145	  0.165
             82	 -0.165	  0.145
             83	 -0.175	  0.135
             84	 -0.185	  0.130
             85	 -0.205	  0.125
             86	 -0.215	  0.105
             87	 -0.220	  0.085
             88	 -0.230	  0.075
             89	 -0.245	  0.080
             90	 -0.240	  0.080
             91	 -0.245	  0.075
             92	 -0.245	  0.060
             93	 -0.265	  0.040
             94	 -0.265	  0.040
             95	 -0.265	  0.050
             96	 -0.260	  0.065
             97	 -0.255	  0.050
             98	 -0.270	  0.040
             99	 -0.265	  0.030
            100	 -0.275	  0.030
            101	 -0.265	  0.035
            102	 -0.275	  0.045
            103	 -0.265	  0.045
            104	 -0.270	  0.035
            105	 -0.265	  0.025
            106	 -0.280	  0.015
            107	 -0.285	  0.020
            108	 -0.275	  0.035
            109	 -0.260	  0.045
            110	 -0.250	  0.045
            111	 -0.265	  0.040
            112	 -0.270	  0.025
            113	 -0.265	  0.045
            114	 -0.240	  0.060
            115	 -0.245	  0.060
            116	 -0.250	  0.045
            117	 -0.250	  0.040
            118	 -0.255	  0.050
            119	 -0.240	  0.055
            120	 -0.230	  0.070
            121	 -0.225	  0.070
            122	 -0.230	  0.070
            123	 -0.240	  0.050
            124	 -0.240	  0.055
            125	 -0.240	  0.065
            126	 -0.220	  0.065
            127	 -0.220	  0.075
            128	 -0.220	  0.065
            129	 -0.225	  0.060
            130	 -0.240	  0.065
            131	 -0.235	  0.070
            132	 -0.215	  0.090
            133	 -0.220	  0.070
            134	 -0.230	  0.060
