sample interval	   MLII	     V1
(0.0027777 sec)	   (mV)	   (mV)
              0	 -0.445	  0.260
              1	 -0.445	  0.260
              2	 -0.445	  0.260
              3	 -0.445	  0.260
              4	 -0.445	  0.260
              5	 -0.445	  0.260
              6	 -0.445	  0.260
              7	 -0.445	  0.260
              8	 -0.450	  0.260
              9	 -0.430	  0.250
             10	 -0.435	  0.250
             11	 -0.405	  0.260
             12	 -0.385	  0.270
             13	 -0.365	  0.250
             14	 -0.355	  0.255
             15	 -0.340	  0.235
             16	 -0.325	  0.235
             17	 -0.305	  0.245
             18	 -0.285	  0.265
             19	 -0.260	  0.250
             20	 -0.245	  0.235
             21	 -0.225	  0.225
             22	 -0.240	  0.215
             23	 -0.225	  0.225
             24	 -0.210	  0.230
             25	 -0.195	  0.230
             26	 -0.190	  0.220
             27	 -0.195	  0.205
             28	 -0.205	  0.205
             29	 -0.205	  0.215
             30	 -0.200	  0.215
             31	 -0.205	  0.215
             32	 -0.210	  0.200
             33	 -0.215	  0.190
             34	 -0.235	  0.190
             35	 -0.235	  0.195
             36	 -0.220	  0.200
             37	 -0.235	  0.195
             38	 -0.240	  0.195
             39	 -0.255	  0.185
             40	 -0.280	  0.180
             41	 -0.275	  0.180
             42	 -0.265	  0.195
             43	 -0.270	  0.200
             44	 -0.270	  0.190
             45	 -0.285	  0.175
             46	 -0.305	  0.170
             47	 -0.305	  0.165
             48	 -0.295	  0.185
             49	 -0.290	  0.170
             50	 -0.300	  0.190
             51	 -0.305	  0.180
             52	 -0.315	  0.175
             53	 -0.310	  0.185
             54	 -0.315	  0.200
             55	 -0.295	  0.190
             56	 -0.300	  0.170
             57	 -0.310	  0.175
             58	 -0.315	  0.170
             59	 -0.315	  0.190
             60	 -0.320	  0.195
             61	 -0.315	  0.165
             62	 -0.305	  0.175
             63	 -0.310	  0.150
             64	 -0.330	  0.155
             65	 -0.325	  0.170
             66	 -0.330	  0.180
             67	 -0.320	  0.175
             68	 -0.320	  0.160
             69	 -0.310	  0.145
             70	 -0.325	  0.140
             71	 -0.330	  0.160
             72	 -0.330	  0.175
             73	 -0.325	  0.160
             74	 -0.325	  0.155
             75	 -0.335	  0.145
             76	 -0.335	  0.150
             77	 -0.330	  0.155
             78	 -0.320	  0.170
             79	 -0.320	  0.170
             80	 -0.335	  0.155
             81	 -0.335	  0.140
             82	 -0.345	  0.140
             83	 -0.340	  0.155
             84	 -0.325	  0.160
             85	 -0.320	  0.155
             86	 -0.325	  0.140
             87	 -0.350	  0.140
             88	 -0.360	  0.135
             89	 -0.350	  0.135
             90	 -0.325	  0.155
             91	 -0.310	  0.135
             92	 -0.325	  0.145
             93	 -0.335	  0.135
             94	 -0.340	  0.140
             95	 -0.340	  0.150
             96	 -0.330	  0.150
             97	 -0.325	  0.150
             98	 -0.335	  0.140
             99	 -0.340	  0.130
            100	 -0.345	  0.130
            101	 -0.330	  0.150
            102	 -0.335	  0.155
            103	 -0.325	  0.150
            104	 -0.325	  0.145
            105	 -0.335	  0.130
            106	 -0.340	  0.135
            107	 -0.325	  0.140
            108	 -0.325	  0.145
